airline,dep_airport,arr_airport,aircraft_type,month,day_of_week,dep_hour,weather_severity,wind_speed,visibility,congestion,distance,prev_delay,delay_minutes,is_delayed
NK,MCO,LGA,E175,8,4,11,3,74,4.7,5,430,21,16,1
AS,ATL,LAX,E175,12,4,5,6,48,5.4,10,2347,59,15,0
F9,MCO,CLT,A319,3,3,7,3,6,1.9,7,1597,3,11,0
DL,MIA,LAX,787,4,3,19,8,46,1.9,1,2255,49,20,1
F9,DFW,LAX,A321,6,5,14,6,62,8.5,2,501,61,16,1
NK,SEA,MCO,A319,7,3,12,2,52,6.0,9,1063,59,15,0
WN,PHX,MIA,A380,1,0,11,8,0,2.2,8,1462,80,20,1
UA,DEN,LGA,787,7,1,13,9,71,4.6,1,802,22,19,1
AS,DEN,ORD,737,12,5,7,3,46,7.2,1,920,89,8,0
UA,MIA,CLT,A320,10,1,17,7,51,5.7,4,2057,22,10,0
NK,PHX,CLT,787,11,4,8,3,27,9.3,9,2993,27,10,0
AS,LGA,SFO,A380,1,0,17,3,69,5.2,9,617,36,18,1
AA,BOS,PHX,A321,8,6,13,1,61,9.7,4,1591,38,5,0
AA,DTW,MSP,737,2,1,9,1,18,6.9,5,2007,89,9,0
F9,ATL,DFW,777,7,2,21,8,68,6.4,6,730,15,17,1
AS,CLT,ORD,A320,4,3,8,10,66,8.1,4,2034,51,21,1
AA,JFK,MIA,737,7,1,12,9,49,9.3,10,1090,6,21,1
AA,DTW,LAX,A319,1,5,16,5,31,6.4,9,1982,47,15,0
F9,ORD,JFK,737,8,3,15,8,35,9.0,4,740,88,20,1
AS,ORD,DTW,A321,9,3,5,1,13,3.4,4,1827,7,0,0
NK,ORD,MSP,777,1,3,18,6,50,8.9,2,1097,27,18,1
WN,CLT,DFW,A319,3,0,21,6,36,9.3,1,601,52,11,0
NK,ORD,JFK,A320,4,6,5,2,24,4.1,6,740,66,9,0
F9,MCO,LAX,E175,11,1,6,1,32,1.6,6,1800,41,14,0
NK,ORD,LAS,A380,12,1,11,4,44,2.1,8,2859,15,16,1
F9,DTW,BOS,A319,6,6,15,1,7,7.8,5,1426,67,11,0
AS,PHX,CLT,A321,3,6,12,2,29,0.7,8,1130,18,8,0
B6,MIA,PHX,737MAX,5,0,5,6,47,2.0,5,1196,15,12,0
B6,SFO,DEN,E175,6,4,7,3,56,3.6,5,1308,61,16,1
DL,CLT,SFO,787,4,0,9,10,9,9.5,4,2789,0,17,1
F9,DEN,LAS,737,4,6,6,4,23,6.9,3,2727,32,18,1
B6,EWR,ORD,E175,1,0,12,2,34,3.5,10,1075,25,3,0
DL,LAX,BOS,A350,7,3,22,4,20,9.7,4,2192,72,16,1
UA,CLT,DFW,A350,2,0,11,7,61,5.7,1,1848,22,18,1
AA,ORD,BOS,A380,1,0,20,6,12,9.0,1,1935,11,11,0
NK,MCO,DTW,A380,5,4,7,4,52,8.0,9,1362,52,16,1
DL,SFO,MCO,787,10,4,7,2,75,7.0,10,2839,16,13,0
DL,LAX,ATL,737,5,5,12,6,16,9.5,9,1624,3,8,0
WN,ATL,PHX,E175,6,6,14,3,38,4.5,2,1543,57,16,1
NK,MIA,SFO,A380,1,2,17,1,24,8.7,6,1440,5,12,0
DL,EWR,LAS,A319,5,5,15,4,18,9.7,2,2394,48,7,0
B6,ORD,DTW,E175,7,0,15,8,75,1.3,5,1331,35,32,1
DL,SEA,DEN,A380,9,3,21,1,76,6.9,3,1024,81,18,1
AA,LAX,LGA,A319,8,5,22,7,32,7.8,2,523,48,4,0
UA,DTW,PHX,A320,1,1,13,1,20,0.8,6,775,80,18,1
UA,DEN,ATL,A319,10,1,21,9,0,9.6,4,1769,64,13,0
AA,SEA,LAX,787,12,6,12,10,33,4.9,3,954,64,24,1
AS,DTW,CLT,A319,7,6,9,2,74,2.3,6,1063,37,25,1
DL,LAX,CLT,A321,11,2,6,9,37,4.6,7,2428,4,13,0
AA,BOS,MSP,737MAX,12,3,9,6,52,3.6,3,2458,22,19,1
NK,CLT,LGA,A321,6,3,12,8,24,9.0,3,966,31,11,0
UA,DEN,LGA,737,6,4,10,5,11,2.3,2,2268,77,11,0
DL,PHX,MIA,A380,10,0,19,6,55,8.8,1,1349,35,14,0
B6,MCO,CLT,E175,8,5,18,7,77,4.8,10,825,58,24,1
F9,SFO,ORD,737MAX,7,5,15,10,37,5.4,9,1954,27,17,1
WN,DTW,PHX,E175,4,0,8,3,17,1.1,6,2381,7,7,0
F9,DTW,EWR,A319,3,1,13,6,51,6.5,2,2275,58,12,0
AA,ATL,SFO,A350,7,3,15,7,8,1.0,3,2890,39,16,1
B6,DFW,SFO,A321,2,3,15,6,50,8.3,2,1146,74,8,0
WN,DEN,SFO,A320,10,5,8,4,19,2.6,1,2437,13,10,0
F9,ATL,DEN,A320,11,6,8,1,5,3.5,10,560,22,7,0
F9,LAX,JFK,A380,5,0,21,8,37,4.3,1,2475,61,15,0
WN,EWR,MCO,737MAX,5,2,13,3,34,9.3,6,2155,71,13,0
WN,ORD,ATL,E175,5,2,18,4,41,4.1,8,606,38,18,1
F9,LAS,ATL,737,1,6,19,9,16,9.0,7,2297,52,18,1
UA,ATL,SFO,E175,3,6,12,4,14,8.8,1,2335,26,11,0
WN,ATL,JFK,A321,5,2,5,6,65,7.7,10,1441,37,7,0
B6,MCO,SEA,A321,5,4,19,2,26,6.5,3,2255,35,12,0
DL,LGA,DEN,A350,4,2,14,6,5,4.2,10,2649,11,8,0
F9,LGA,PHX,A321,12,3,20,5,36,7.1,10,903,30,14,0
